?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
284,AF80,284,0000,000,0000,000,0000,0000,004,0100
284,AF80,285,AF80,284,FF80,000,FF80,FF80,008,1000
285,0740,286,0740,285,0740,000,0285,FF7F,009,1001
286,0680,287,0680,286,0680,000,0286,7FFF,001,0001
287,EEFB,288,EEFB,283,7FFF,000,FFFB,7FFF,001,0001,283,7FFF
288,AF04,289,AF04,288,0004,000,0004,0004,001,0001
289,EEF8,28A,EEF8,282,0004,000,FFF8,0004,001,0001,282,0004
28A,AEF5,28B,AEF5,280,0298,000,FFF5,0298,001,0001
28B,EEF5,28C,EEF5,281,0298,000,FFF5,0298,001,0001,281,0298
28C,AAF4,28D,AAF4,298,0400,000,FFF4,0400,001,0001,281,0299
28D,0480,28E,0480,28D,0480,000,028D,8200,00A,1010
28E,0380,28F,0380,28E,0380,000,028E,8200,00B,1011
28F,F405,295,F405,28F,F405,000,0005,8200,00B,1011
295,8282,296,8282,282,0003,000,0002,8200,00B,1011,282,0003
296,CEF5,28C,CEF5,296,028C,000,FFF5,8200,00B,1011
28C,AAF4,28D,AAF4,299,0300,000,FFF4,0300,001,0001,281,029A
28D,0480,28E,0480,28D,0480,000,028D,8180,00A,1010
28E,0380,28F,0380,28E,0380,000,028E,8180,00B,1011
28F,F405,295,F405,28F,F405,000,0005,8180,00B,1011
295,8282,296,8282,282,0002,000,0001,8180,00B,1011,282,0002
296,CEF5,28C,CEF5,296,028C,000,FFF5,8180,00B,1011
28C,AAF4,28D,AAF4,29A,0001,000,FFF4,0001,001,0001,281,029B
28D,0480,28E,0480,28D,0480,000,028D,8000,009,1001
28E,0380,28F,0380,28E,0380,000,028E,8000,008,1000
28F,F405,290,F405,28F,F405,000,028F,8000,008,1000
290,0380,291,0380,290,0380,000,0290,8000,009,1001
291,0400,292,0400,291,0400,000,0291,0001,003,0011
292,7EF0,293,7EF0,283,7FFF,000,FFF0,0001,008,1000
293,F901,294,F901,293,F901,000,0293,0001,008,1000
294,EEEE,295,EEEE,283,0001,000,FFEE,0001,008,1000,283,0001
295,8282,296,8282,282,0001,000,0000,0001,008,1000,282,0001
296,CEF5,28C,CEF5,296,028C,000,FFF5,0001,008,1000
28C,AAF4,28D,AAF4,29B,1000,000,FFF4,1000,000,0000,281,029C
28D,0480,28E,0480,28D,0480,000,028D,0800,000,0000
28E,0380,28F,0380,28E,0380,000,028E,0800,001,0001
28F,F405,295,F405,28F,F405,000,0005,0800,001,0001
295,8282,297,8282,282,0000,000,FFFF,0800,001,0001,282,0000
297,0100,298,0100,297,0100,000,0297,0800,001,0001
